,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action 26,Action 27
Action 1,673,120,168,69,74,51,26,55,55,193,61,45,161,112,76,14,75,185,31,53,124,173,31,0,3,0,15
Action 2,278,509,104,46,70,84,57,156,133,148,157,68,118,44,47,12,52,108,69,22,109,132,9,12,2,0,9
Action 3,125,114,644,86,86,92,68,103,101,140,112,132,148,68,42,53,63,148,31,74,117,186,7,32,9,3,3
Action 4,67,19,141,617,85,341,41,63,115,52,67,71,240,81,88,100,113,58,47,56,96,48,8,17,0,0,2
Action 5,33,50,86,131,314,58,142,151,86,101,73,54,124,159,44,55,191,86,132,82,221,24,12,1,2,3,1
Action 6,72,34,105,139,24,1012,18,48,60,66,51,201,157,29,39,178,47,96,11,26,104,62,11,12,16,0,21
Action 7,58,68,110,101,140,64,298,80,89,73,99,56,115,78,25,112,108,155,221,146,161,21,14,1,0,0,0
Action 8,66,155,105,60,116,71,95,333,207,167,259,59,168,180,101,40,124,137,90,107,160,63,3,0,0,0,0
Action 9,58,158,149,108,78,103,74,141,605,147,236,89,174,148,39,71,105,204,97,68,127,87,1,44,0,0,3
Action 10,255,148,181,122,129,91,62,113,88,548,201,74,157,83,61,41,185,174,58,60,192,107,7,3,5,0,1
Action 11,159,124,125,87,64,103,141,191,250,257,527,90,169,83,61,65,107,183,144,142,147,47,6,0,3,0,2
Action 12,18,18,69,18,5,99,9,12,14,11,10,1345,98,54,255,244,22,218,5,38,66,387,115,85,35,4,60
Action 13,65,63,134,111,53,77,92,97,91,63,68,352,506,112,89,75,105,199,67,97,157,135,5,1,9,2,14
Action 14,46,26,177,132,101,110,72,162,36,61,43,204,185,749,287,93,171,56,65,59,94,162,30,22,18,11,42
Action 15,27,39,32,70,69,79,70,111,75,27,39,263,206,231,768,72,205,77,35,88,116,112,32,4,2,6,15
Action 16,15,20,148,128,41,270,70,42,72,69,62,220,133,25,48,631,45,117,37,104,104,77,2,45,22,0,2
Action 17,31,37,135,142,214,75,120,173,54,94,73,133,202,335,135,69,293,90,173,123,270,25,2,5,0,3,0
Action 18,134,130,105,56,69,119,68,51,91,153,123,156,177,35,27,140,86,524,84,106,176,56,2,0,9,0,13
Action 19,87,45,110,221,153,61,145,82,107,144,207,60,226,115,52,131,129,132,387,175,184,61,7,8,4,0,0
Action 20,112,94,153,50,48,88,189,78,117,103,112,97,123,45,20,137,57,238,140,248,155,39,2,0,0,0,0
Action 21,142,68,106,92,250,127,122,129,119,100,84,214,216,162,152,80,237,239,130,97,905,105,6,5,12,6,4
Action 22,24,13,49,7,18,10,22,42,18,28,9,194,33,30,87,41,23,12,7,24,49,1545,169,26,42,19,77
Action 23,1,0,7,0,2,3,1,11,3,0,1,46,4,21,20,3,12,2,1,3,8,153,2248,13,6,252,193
Action 24,0,1,17,54,7,29,0,4,76,2,0,63,20,10,10,9,35,3,1,1,12,368,64,1344,237,7,63
Action 25,5,6,10,54,6,60,1,2,36,18,3,19,12,0,1,3,34,12,10,10,63,201,23,242,1394,0,383
Action 26,0,0,1,0,0,0,0,0,0,0,0,15,0,14,42,0,2,0,0,0,0,108,211,4,0,3202,66
Action 27,0,4,24,19,0,15,0,2,0,2,0,52,10,45,24,6,5,1,0,5,9,76,671,66,136,55,1944
